"IDDOL","路線名","規制区間（始点）","規制区間（終点）","規制開始日時","規制終了日時","方向区分","規制状況","規制原因","路面状況","路面状況詳細","規制曜日","規制曜日詳細","規制時間","規制時間詳細","規制車両","規制車両詳細","迂回路の有無","迂回路","所管事務所1","所管事務所2","施工業者","備考","FID"
1911,"一般県道 平瀬上三栖線","田辺市上野","田辺市上野","2015/01/13 8:00","2015/06/30 17:00","上下","全面通行止","","","","日祝除く","","時間規制","8時～17時","緊急車両除く","","有","市道","","西牟婁建設部","楠本重機","",1018
1916,"一般国道 371号","古座川町添野川","古座川町添野川","2015/04/13","2015/06/30","上下","全面通行止","","","","","","終日","","","","有","","","串本建設部","","",1094
1917,"一般国道 371号","古座川町添野川","古座川町添野川","2015/04/13","2015/06/30","上下","全面通行止","","","","","","終日","","","","有","","","串本建設部","","",1094
1918,"主要地方道 串本古座川線","古座川町南平","古座川町南平","2015/4/13","2016/2/10","上下","時間通行規制・車両通行規制（幅員２ｍ以上通行不可）","","","","日祝除く","","時間規制","9：00~17：00","","","無","","","串本建設部","","",1093
1919,"主要地方道 串本古座川線","古座川町南平","古座川町南平","2015/4/13","2016/2/10","上下","時間通行規制・車両通行規制（幅員２ｍ以上通行不可）","","","","日祝除く","","時間規制","9：00~17：00","","","無","","","串本建設部","","",1093
1926,"主要地方道 那智勝浦古座川線","那智勝浦町口色川地内","那智勝浦町口色川地内","2015/04/06 10:00","未定","上下","全面通行止","災害","路面陥没","","","","終日","","","","有","那智勝浦町道大野南平野線～県道那智勝浦本宮線","新宮建設部","","","",1099
1927,"主要地方道 那智勝浦古座川線","那智勝浦町口色川地内","那智勝浦町口色川地内","2015/04/06 10:00","未定","上下","全面通行止","災害","路面陥没","","","","終日","","","","有","那智勝浦町道大野南平野線～県道那智勝浦本宮線","新宮建設部","","","",1099
1928,"橋本市道","橋本市高野口町大野","橋本市高野口町大野","2015/04/08","2015/06/05","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1103
1929,"橋本市道","橋本市高野口町大野","橋本市高野口町大野","2015/04/08","2015/06/05","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1103
1930,"橋本市道","橋本市山田地内","橋本市吉原地内","2015/04/13","2015/05/29","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1102
1931,"橋本市道","橋本市山田地内","橋本市吉原地内","2015/04/13","2015/05/29","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1102
1934,"一般県道 秋津川田辺線","田辺市湊","田辺市湊","2015/04/19 9:00","2015/04/20 6:00","下り","時間制限通行止（９：００～１７：００、２３：００～６：００）","","","","","","時間規制","９：００～１７：００、２３：００～６：００","","","有","","","西牟婁建設部","（株）高地商事","",1105
1935,"一般県道 秋津川田辺線","田辺市湊","田辺市湊","2015/04/19 9:00","2015/04/20 6:00","下り","時間制限通行止（９：００～１７：００、２３：００～６：００）","","","","","","時間規制","９：００～１７：００、２３：００～６：００","","","有","","","西牟婁建設部","（株）高地商事","",1105
1942,"主要地方道 泉佐野岩出線","岩出市根来","岩出市根来","2015/04/09 9:00","2015/06/30 17:00","上り","1車線規制","","","","","","時間規制","9:00~17:00","","","無","","","那賀建設部","国土交通省","",913
1943,"主要地方道 泉佐野岩出線","岩出市根来","岩出市根来","2015/04/09 9:00","2015/06/30 17:00","上り","1車線規制","","","","","","時間規制","9:00~17:00","","","無","","","那賀建設部","国土交通省","",913
1944,"主要地方道 泉佐野岩出線","岩出市根来","岩出市根来","2015/04/09 9:00","2015/06/30 17:00","下り","1車線規制","","","","","","終日","","","","無","","","那賀建設部","国土交通省","",912
1945,"主要地方道 泉佐野岩出線","岩出市根来","岩出市根来","2015/04/09 9:00","2015/06/30 17:00","下り","1車線規制","","","","","","終日","","","","無","","","那賀建設部","国土交通省","",912
1950,"一般県道 芳養清川線","田辺市上芳養","田辺市上芳養","2015/04/16 8:30","2015/05/15 17:00","上下","時間制限 8:30～10:00、10:10～12:00、13:00～15:00、15:10～17:00","","","","日曜除く","","時間規制","","二輪車除く","","無","","","西牟婁建設部","平阪建設(株)","",1106
1951,"一般県道 芳養清川線","田辺市上芳養","田辺市上芳養","2015/04/16 8:30","2015/05/15 17:00","上下","時間制限 8:30～10:00、10:10～12:00、13:00～15:00、15:10～17:00","","","","日曜除く","","時間規制","","二輪車除く","","無","","","西牟婁建設部","平阪建設(株)","",1106
1960,"橋本市道","橋本市高野口町大野","橋本市高野口町大野","2015/04/27","2015/07/30","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1111
1961,"橋本市道","橋本市高野口町大野","橋本市高野口町大野","2015/04/27","2015/07/30","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1111
1962,"橋本市道","橋本市岸上","橋本市岸上","2015/04/23","2015/05/15","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1112
1963,"橋本市道","橋本市岸上","橋本市岸上","2015/04/23","2015/05/15","上下","全面通行止","","","","","","終日","","","","有","","","道路保全課","","",1112
1966,"一般県道 静川請川線","田辺市本宮町上大野","田辺市本宮町上大野","2015/04/13 9:00","2015/06/30 17:00","上下","時間規制及び終日総重量2t以上通行止","","","","日祝除く","","時間規制","９：００～１０：００　１０：２０～１２：００　１３：００～１５：００　１５：２０～１６：１０　１６：３０～１７：００","","","無","","","西牟婁建設部","庄田組","",1039
1967,"一般県道 静川請川線","田辺市本宮町上大野","田辺市本宮町上大野","2015/04/13 9:00","2015/06/30 17:00","上下","時間規制及び終日総重量2t以上通行止","","","","日祝除く","","時間規制","９：００～１０：００　１０：２０～１２：００　１３：００～１５：００　１５：２０～１６：１０　１６：３０～１７：００","","","無","","","西牟婁建設部","庄田組","",1039
1968,"主要地方道 田辺印南線","印南町樮川","印南町樮川","2015/04/30 9:00","2015/07/09 17:00","上下","全面通行止","","","","","","時間規制","９：００～１２：００、１３：００～１７：００の間、通行止","","","有","","","日高建設部","","",1117
1969,"主要地方道 田辺印南線","印南町樮川","印南町樮川","2015/04/30 9:00","2015/07/09 17:00","上下","全面通行止","","","","","","時間規制","９：００～１２：００、１３：００～１７：００の間、通行止","","","有","","","日高建設部","","",1117
1970,"主要地方道 上富田南部線","田辺市稲成町","田辺市稲成町","2015/05/07 9:00","2015/07/22 23:59","上下","通行止","","","","","","終日","","","","無","","","西牟婁建設部","株式会社かねやす建設","",1121
1971,"主要地方道 上富田南部線","田辺市稲成町","田辺市稲成町","2015/05/07 9:00","2015/07/22 23:59","上下","通行止","","","","","","終日","","","","無","","","西牟婁建設部","株式会社かねやす建設","",1121
1972,"一般県道 温川田辺線","田辺市新庄町（JR橋谷第二踏切）","田辺市新庄町（JR橋谷第二踏切）","2015/05/09 22:00","2015/05/19 6:00","上下","5/9、5/13、5/18時間制限通行止22:00～翌6:00","","","","","","夜間","5/9、5/13、5/18　時間規制22:00～翌6:00","","歩行者除く","有","","","西牟婁建設部","田辺市新庄町（JR橋谷第二踏切）","発注者：JR西日本田辺保線区0739-22-0859",1122
